"Observation.ID","Observation.Date","Year","Sex","ObsAge","z.Age","ALS","z.ALS","Repro.Stat","Associates","anon_id"
806,"1988-08-10",1988,"MALE",648,-1.46396422166761,12084,0.342966891074104,"Calf",13,"ID0258"
806,"1988-08-10",1988,"FEMALE",5031,-0.344515999428421,15331,1.17927907358894,"Not Calf",13,"ID0486"
806,"1988-08-10",1988,"FEMALE",1744,-1.18403831439538,9025,-0.444923150907077,"Not Calf",13,"ID0576"
806,"1988-08-10",1988,"MALE",6127,-0.0645900921561997,12747,0.513732205828443,"Not Calf",13,"ID1023"
806,"1988-08-10",1988,"FEMALE",7953,0.401782815397702,10144,-0.156708388900885,"Not Calf",13,"ID1273"
806,"1988-08-10",1988,"MALE",3935,-0.624441906700643,11581,0.213411908688836,"Not Calf",13,"ID1331"
806,"1988-08-10",1988,"FEMALE",2839,-0.904367813972864,4932,-1.49913496582338,"Not Calf",13,"ID1502"
806,"1988-08-10",1988,"FEMALE",7588,0.308559315256862,12918,0.557775748547888,"Not Calf",13,"ID1776"
806,"1988-08-10",1988,"FEMALE",2109,-1.09081481425454,5044,-1.47028773316503,"Not Calf",13,"ID1936"
806,"1988-08-10",1988,"FEMALE",6492,0.0286334079846405,8595,-0.555675919148956,"Not Calf",13,"ID1948"
806,"1988-08-10",1988,"FEMALE",648,-1.46396422166761,10948,0.050373531253698,"Calf",13,"ID1951"
810,"1988-08-13",1988,"FEMALE",10147,0.962145443641547,11362,0.15700526625867,"Not Calf",1,"ID0344"
810,"1988-08-13",1988,"FEMALE",4273,-0.538114391501728,15283,1.16691597387822,"Not Calf",1,"ID1368"
811,"1988-08-13",1988,"MALE",8321,0.495772536087645,9512,-0.319489201758716,"Not Calf",1,"ID1555"
811,"1988-08-13",1988,"FEMALE",5764,-0.157302778597638,9219,-0.394955622909578,"Not Calf",1,"ID1920"
812,"1988-08-13",1988,"FEMALE",286,-1.55642150125934,13538,0.717465786478039,"Calf",1,"ID0995"
812,"1988-08-13",1988,"FEMALE",6130,-0.0638238716070969,15584,1.24444291164754,"Not Calf",1,"ID1744"
814,"1988-08-13",1988,"FEMALE",5764,-0.157302778597638,11842,0.280636263365884,"Not Calf",5,"ID0541"
814,"1988-08-13",1988,"FEMALE",1381,-1.27675100083682,3608,-1.84015046617745,"Calf",5,"ID1614"
814,"1988-08-13",1988,"FEMALE",7225,0.215846628815424,12339,0.408645858287311,"Not Calf",5,"ID1616"
814,"1988-08-13",1988,"FEMALE",5034,-0.343749778879318,6135,-1.18928477932343,"Not Calf",5,"ID1764"
814,"1988-08-13",1988,"FEMALE",7591,0.309325535805965,12918,0.557775748547888,"Not Calf",5,"ID1776"
819,"1988-08-16",1988,"MALE",654,-1.4624317805694,12084,0.342966891074104,"Calf",12,"ID0258"
819,"1988-08-16",1988,"FEMALE",5037,-0.342983558330216,15331,1.17927907358894,"Not Calf",12,"ID0486"
819,"1988-08-16",1988,"FEMALE",5767,-0.156536558048535,11842,0.280636263365884,"Not Calf",12,"ID0541"
819,"1988-08-16",1988,"FEMALE",1384,-1.27598478028772,3608,-1.84015046617745,"Calf",12,"ID1614"
819,"1988-08-16",1988,"FEMALE",7228,0.216612849364526,12339,0.408645858287311,"Not Calf",12,"ID1616"
819,"1988-08-16",1988,"FEMALE",7594,0.310091756355068,12918,0.557775748547888,"Not Calf",12,"ID1776"
819,"1988-08-16",1988,"FEMALE",6498,0.0301658490828461,8595,-0.555675919148956,"Not Calf",12,"ID1948"
819,"1988-08-16",1988,"FEMALE",654,-1.4624317805694,10948,0.050373531253698,"Calf",12,"ID1951"
1002,"1989-05-23",1989,"FEMALE",2030,-1.11099195538092,9025,-0.444923150907077,"Not Calf",1,"ID0576"
1002,"1989-05-23",1989,"FEMALE",6047,-0.0850226401322742,9219,-0.394955622909578,"Not Calf",1,"ID1920"
1002,"1989-05-23",1989,"FEMALE",1664,-1.20447086237146,4485,-1.61426633187947,"Calf",1,"ID1922"
1004,"1989-05-25",1989,"MALE",8606,0.568563488252411,14631,0.998983869474257,"Not Calf",4,"ID0749"
1004,"1989-05-25",1989,"MALE",6049,-0.0845118264328724,15364,1.18777870464006,"Not Calf",4,"ID1420"
1007,"1989-05-25",1989,"MALE",10432,1.03493639580631,14247,0.900079071788486,"Not Calf",1,"ID0186"
1007,"1989-05-25",1989,"FEMALE",6049,-0.0845118264328724,9219,-0.394955622909578,"Not Calf",1,"ID1920"
1007,"1989-05-25",1989,"FEMALE",1666,-1.20396004867206,4485,-1.61426633187947,"Calf",1,"ID1922"
1011,"1989-05-28",1989,"FEMALE",3442,-0.750357483603202,11304,0.142066520774882,"Not Calf",2,"ID0884"
1011,"1989-05-28",1989,"MALE",148,-1.59166764651807,13327,0.663119660666326,"Calf",2,"ID1576"
1011,"1989-05-28",1989,"FEMALE",7879,0.382882708519833,9008,-0.449301748721291,"Not Calf",2,"ID1929"
1016,"1989-05-29",1989,"MALE",235,-1.56944725059409,13390,0.679346229036648,"Calf",1,"ID0324"
1016,"1989-05-29",1989,"FEMALE",10436,1.03595802320512,11362,0.15700526625867,"Not Calf",1,"ID0344"
1020,"1989-05-30",1989,"MALE",236,-1.56919184374439,13390,0.679346229036648,"Calf",4,"ID0324"
1020,"1989-05-30",1989,"MALE",10072,0.942989929913977,11511,0.195382388277368,"Not Calf",4,"ID0340"
1020,"1989-05-30",1989,"FEMALE",4901,-0.377718889889542,14428,0.946698260280998,"Not Calf",4,"ID1172"
1020,"1989-05-30",1989,"FEMALE",4563,-0.464046405088457,15283,1.16691597387822,"Not Calf",4,"ID1368"
1020,"1989-05-30",1989,"MALE",8611,0.569840522500915,9512,-0.319489201758716,"Not Calf",4,"ID1555"
1021,"1989-05-30",1989,"MALE",6054,-0.0832347921843677,7950,-0.721805071511775,"Not Calf",1,"ID1837"
1022,"1989-05-31",1989,"FEMALE",7151,0.196946521937555,12235,0.381859142247415,"Not Calf",13,"ID0022"
1022,"1989-05-31",1989,"FEMALE",6786,0.103723021796714,17932,1.84920453916366,"Not Calf",13,"ID0145"
1022,"1989-05-31",1989,"MALE",942,-1.38887460785553,12084,0.342966891074104,"Calf",13,"ID0258"
1022,"1989-05-31",1989,"FEMALE",5325,-0.269426385616347,15331,1.17927907358894,"Not Calf",13,"ID0486"
1022,"1989-05-31",1989,"FEMALE",6055,-0.0829793853346668,11842,0.280636263365884,"Not Calf",13,"ID0541"
1022,"1989-05-31",1989,"FEMALE",8247,0.476872429209776,13801,0.7852052703097,"Not Calf",13,"ID1359"
1022,"1989-05-31",1989,"MALE",228,-1.571235098542,10234,-0.133527576943282,"Calf",13,"ID1388"
1022,"1989-05-31",1989,"FEMALE",3133,-0.82927820016079,4932,-1.49913496582338,"Not Calf",13,"ID1502"
1022,"1989-05-31",1989,"FEMALE",7516,0.290170022078395,12339,0.408645858287311,"Not Calf",13,"ID1616"
1022,"1989-05-31",1989,"FEMALE",5325,-0.269426385616347,6135,-1.18928477932343,"Not Calf",13,"ID1764"
1022,"1989-05-31",1989,"FEMALE",6786,0.103723021796714,8595,-0.555675919148956,"Not Calf",13,"ID1948"
1025,"1989-05-31",1989,"FEMALE",1672,-1.20242760757385,14890,1.06569309499669,"Calf",3,"ID0989"
1025,"1989-05-31",1989,"FEMALE",10438,1.03646883690452,12707,0.503429622736175,"Not Calf",3,"ID1721"
1027,"1989-05-31",1989,"FEMALE",7882,0.383648929068936,14134,0.870974274552829,"Not Calf",1,"ID1140"
1028,"1989-05-31",1989,"FEMALE",3864,-0.642575793029409,10494,-0.0665607868435417,"Not Calf",11,"ID0858"
1028,"1989-05-31",1989,"FEMALE",3445,-0.749591263054099,11304,0.142066520774882,"Not Calf",11,"ID0884"
1028,"1989-05-31",1989,"FEMALE",1672,-1.20242760757385,3608,-1.84015046617745,"Calf",11,"ID1614"
1028,"1989-05-31",1989,"FEMALE",7882,0.383648929068936,12918,0.557775748547888,"Not Calf",11,"ID1776"
1030,"1989-05-31",1989,"MALE",237,-1.56893643689469,13390,0.679346229036648,"Calf",2,"ID0324"
1030,"1989-05-31",1989,"FEMALE",10438,1.03646883690452,11362,0.15700526625867,"Not Calf",2,"ID0344"
1030,"1989-05-31",1989,"FEMALE",10438,1.03646883690452,12686,0.498020766612735,"Not Calf",2,"ID0772"
